BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
6,"","BKB18","Bach, F.; Kloek, W.; Bujnowska, A.","Statistical confidentiality: New initiatives in the European Statistical System","",,,"","",2018,"","\href{https://www.q2018.pl/wp-content/uploads/Sessions/Session%2031/Fabian%20Bach/Session%2031_Fabian%20Bach.pptx}{Online presentation}","https://www.q2018.pl/wp-content/uploads/Sessions/Session%2031/Fabian%20Bach/Session%2031_%20Fabian%20Bach.docx","Proc. Quality conference","","","","","","","","","","","","The protection of confidential information has a huge impact on how statistical data can be published and used for analysis, which makes it a key aspect of data quality. This paper presents new methods and tools currently being investigated in the ESS in order to publish more - and more useful - data without compromising statistical confidentiality. It covers new methodological and IT developments, where concrete use cases demonstrate their impact on data quality. For instance, a promising methodological direction is random noise: several ESS use cases at different maturity stages are presented, including recommendations for the harmonised protection of 2021 EU Census data. Another direction is to reflect at a more fundamental level where protection is needed. Several ideas will be presented along this line.","","","",""
6,"","Bujnowska17","Bujnowska, A.","Statistical confidentiality in European business statistics","",,,"","",2017,"","","https://www.unece.org/fileadmin/DAM/stats/documents/ece/ces/ge.46/2017/1_confidentiality_europe.pdf","Proc. work session on Statistical Data Confidentiality","","","","","","","","","United Nations Economic Commission for Europe","","","","","","",""
6,"","Capaccioli17","Capaccioli, M.","The Eurostat Process Management Framework","",,,"","",2017,"","","http://www.unece.org/fileadmin/DAM/stats/documents/ece/ces/ge.58/2017/mtg4/Paper_5_-_PMF_Eurostat.pdf","Proc. workshop on Implementing Efficiencies and Quality of Output","","","","","","","","","United Nations Economic Commission for Europe","","","The statistical organisations are facing several challenges: their mission is evolving, the budget and human resources are shrinking and new IT technologies are appearing on the market. They need to improve their rapidity to respond to new user requirements and maintain at the same time  high quality products and services. In this context, managing business processes is an important sign of maturity and efficiency in organisations. Eurostat has decided to launch the project Process Management Framework (PMF) with the objective to build a harmonised documentation of  the Eurostat processes, increase the process management maturity and create a pool of competence for business process modelling. This project is strongly linked with the Quality review initiative undertaken by Eurostat.","","","",""
6,"","Florescu18","Florescu, D. C.","European structural farm statistics \textendash New quality rating system","",,,"","",2018,"","\href{https://www.q2018.pl/wp-content/uploads/Sessions/Session%2019/Denisa%20Florescu/Session%2019_Denisa%20Florescu.pptx}{Online presentation}","https://www.q2018.pl/wp-content/uploads/Sessions/Session%2019/Denisa%20Florescu/Session%2019_Denisa%20Florescu.DOCX","Proc. Quality conference","","","","","","","","","","","","Eurostat, together with the statistical bodies belonging to the European Statistical System (ESS), has adopted a quality rating system to guide the dissemination of structural farm statistics derived from farm structure surveys. The system does this by showing when the estimates are sufficiently reliable to be published, either with or without a warning. It is based on: (i) coefficients of variations for totals and means of continuous variables; (ii) standard errors for proportions and counts. This paper also presents the work carried out to harmonise variance estimation methods and their application within the ESS. To apply the new quality rating system consistently, Eurostat and the national statistical bodies must compute roughly the same variance estimates. Future structural farm statistics will come from the data collected from 'Integrated Farm Statistics', based on a modular approach. This will lead to more complex national sampling designs. The paper also outlines ongoing developments towards integrating additional sampling design information specific to national multi-stage sampling in the estimation of variance. The paper also introduces new quality reporting based on the European Standard Quality Reporting System (ESQRS) template. This is of great help in assessing all quality dimensions, thereby improving the quality of EU data and metadata. Farm structure surveys are the main source of information on the current state of agriculture and the trends it is undergoing, required to monitor the common agricultural policy and other EU policies. High-quality data are essential for decision-makers.","","","",""
6,"","GGM19","Grazzini, J.; Gaffuri, J.; Museux, J.-M.","Delivering Official Statistics as Do-It-Yourself services to foster produsers' engagement with Eurostat open data","",,,"","",2019,"","","https://www.researchgate.net/publication/332079417_Delivering_Official_Statistics_as_Do-It-Yourself_services_to_foster_produsers'_engagement_with_Eurostat_open_data","Proc. New Techniques and Technologies for Statistics (NTTS)","","","","","","","","","","","","Opening up data obviously provides the opportunity to involve actors from outside the European Statistical System - say produsers, e.g., statisticians, scientists, citizens - and promote innovative, user-centric ways to tackle new and existing policy issues by co-designing statistical products. This also has the potential to increase National Statistical Offices efficiency and effectiveness. However, open data alone does not automatically translate to public participation to the decision-making. In most data provision services, there is an overarching top-down ideology since statistical processes are still owned, dictated and designed by National Statistical Offices and the final users are only involved as the receivers of the data and/or services . We propose to move away from the current approach by providing tools and software for accessing and using online data, so as to enable sharing best practices, learning from others' experience, adopt common methodologies, enhance cooperation between data producers and data users, and further engage in Open Data-driven innovation.","","","",""
6,"","GL17","Grazzini, J.; Lamarche, P.","Production of social statistics... goes social!","",,,"","",2017,"","","https://www.researchgate.net/publication/324208747_Production_of_social_statistics_goes_social","Proc. New Techniques and Technologies for Statistics (NTTS)","","","","","","","","","","","","The scope of this paper is to present a practical framework adopted for the integration of software applications into a statistical production chain. The focus is the actual implementation of a high-level collaborative platform aiming not only at producing social statistics, but also at further fostering experimentation and analysis in that field. In doing so, we strongly support the (obvious) claim that "the modernisation and industrialisation of official statistical production needs a unified combination of statistics and computer science in its very principles". Motivated by the consensus that processes - in particular statistical processes - for data-driven policy should be transparent, we naturally promote open, reproducible, reusable, verifiable, and collaborative software development and deployment in a statistical organisation. Beyond just devising guidelines and best practices, we show how the platform is implemented for the production of social statistics. For that purpose, we adopt a reasonable mix of bottom-up (from low-level scope to high-level vision) and top-down (from black-box process models to traceable functional modules) designs, so as to "think global, [and] act local". In building the parts while planning the whole, we provide with a flexible and agile approach to immediate needs and current legacy issues, as well as long-term problems and potential future requirements for statistical production.","","","",""
6,"","GLGM18","Grazzini, J.; Lamarche, P.; Gaffuri, J.; Museux, J.-M.",""Show me your code, and then I will trust your figures": Towards software-agnostic open algorithms in statistical production","",,,"","",2018,"","","https://www.researchgate.net/publication/325320551_Show_me_your_code_and_then_I_will_trust_your_figures_Towards_software-agnostic_open_algorithms_in_statistical_production","Proc. Quality conference","","","","","","","","","","","","This contribution aims at further promoting the development and deployment of open, reproducible, reusable, verifiable, and collaborative computational resources in statistical offices regardless of the platform/software in use. Motivated by the consensus that data-driven evidence-based policymaking should be transparent, we argue that such approach is not only necessary for the practical implementation of statistical production systems, but also essential to reinforce the quality and trust of official statistics, especially in the context of a 'post-truth' society. We discuss some practical requirements to gear the continuous and flexible development and deployment of software components in production environments. Together with the adoption of some best practices derived from the open source community and the integration of new technological solutions, we propose to unleash the social power of open algorithms so as to create new participatory models of interaction between produsers that can contribute to a more holistic and extensive approach to production systems. Overall, a greater transparency in designing production processes is expected to result in a better grip on the quality of the statistical processes involved in data-driven policy-making. We illustrate this flexible and agile approach with various open, stand-alone software or source code used in statistical production environments at Eurostat.","","","",""
6,"","GMH18","Grazzini, J.; Museux, J.-M.; Hahn, M.","Empowering and interacting with statistical produsers: A practical example with Eurostat data as a service","",,,"","",2018,"","","https://www.researchgate.net/publication/325973362_Empowering_and_interacting_with_statistical_produsers_a_practical_example_with_Eurostat_data_as_a_service","Proc. Conference of European Statistics Stakeholders (CESS)","","","","","","","","","","","","While the importance of openness and transparency in statistical processes, and how these can be supported through open algorithms and open data, has been already emphasized, this contribution aims at showcasing an approach where algorithms and data are delivered as interactive, reusable and reproducible computing services. This will eventually provide produsers with the necessary tools to perform, for themselves, data analytics on Eurostat data in a straightforward manner.","","","",""
6,"","IB13","Infante, E.; Buono, D.","New technique for predictability, uncertainty, implied volatility and statistical analysis of market risk using SARIMA forecasts intervals","",,,"","",2013,"","","https://ec.europa.eu/eurostat/cros/system/files/NTTS2013fullPaper_143.pdf","Proc. New Techniques and Technologies for Statistics (NTTS)","","","","","","","","","","","","Market price data plays an essential role when aiming at the production of quality statistics to be used by policy makers at EU level. Market risk can be defined as the risk of losses in positions arising from movements in market prices, generally linked to the risk that commodity prices and/or their implied volatility will change. From the analyst's perspective, the most informative data are possibly located within the end-series observations. This paper proposes a new Technique for Statistics to be used for assessing the presence of commodity risk that might cause market risk. The underlining idea is to assess whether the realized prices for a determined product in a specified time span is significantly apart from the SARIMA forecasts intervals. Such procedure aims also at identifying the type of eventual outliers present within the end-series observations. An applied case study on agricultural price statistics in Italy is here presented.","","","",""
6,"","IBB13","Infante, E.; Buono, D.; Buono, A.","IB test for direct versus indirect approach in seasonal adjustment","",,,"","",2013,"","","https://ec.europa.eu/eurostat/cros/system/files/NTTS2013fullPaper_143.pdf","Proc. New Techniques and Technologies for Statistics (NTTS)","","","","","","","","","","","","The seasonally adjusted series of an aggregate can be obtained by seasonal adjusting it ("direct approach") or by aggregating the seasonally adjusted individual series ("indirect approach"). The literature to date has mainly focused upon an a posteriori comparison among the results achieved by applying different approaches. Here a new a priori test (IB test) for choosing between direct and indirect approach in seasonal adjustment is proposed. The test is applied before running any seasonal adjustment procedure. When the individual series present common seasonal patterns the aggregate will be adjusted directly, otherwise an indirect approach could be preferred. Sections 3 and 4 include a simulation and a case study, respectively. This paper seeks to set out an a priori strategy for the identification of the most effective seasonal adjustment approach to be used.","","","",""
6,"","Lamboray19","Lamboray, C.","Elementary aggregation: A not so elementary story!","",,,"","",2019,"","","https://eventos.fgv.br/sites/eventos.fgv.br/files/arquivos/u161/elementary_aggregation_og_lamboray.pdf","Meeting of the Ottawa Group","","","","","","","","","","","","The compilation of a CPI is often presented in two stages. First, prices are aggregated without weights at the elementary level. Prices are typically obtained from dedicated surveys for which price collectors visit outlets  and  record  the  observed  prices.  These  elementary  price  indices  are  then  aggregated  to  the  higher  levels using expenditure weights.  Nowadays,  CPIs  are  becoming  a  multi-source  statistics  where  prices  are  obtained  not  only  from  price  collection  in  the  field  but  also  from  transaction  data,  administrative  data  or  from  the  Internet  using  web  scraping techniques. Depending on the data source, different strategies can be adopted for constructing the elementary aggregates and for compiling elementary price indices. A CPI may be compiled in more than two stages and weights may be available even within the elementary aggregates. With scanner data, the index compiler must make two main structural decisions which can have a significant impact on inflation measurement. First, the item which is being aggregated must be defined. Second, the level must be fixed up to which these items are first aggregated. To discuss this second issue, we distinguish two strategies for a category that can be divided into sub-categories. Either the items are directly aggregated to the category level, possibly using a multilateral method. Alternatively, the multilateral method aggregates only up to the sub-category level, and these intermediate sub-category level indices are then aggregated to the  category  level  using  for  instance  a  Laspeyres-type  index  formula.  The  objective  of  this  paper  is  to  examine the impact of introducing this additional level of fixity in the CPI structure.","","","",""
6,"","LGRMGMH19","Luhmann, S.; Grazzini, J.; Ricciato, F.; Meszaros, M.; Giannakouris, K.; Museux, J.-M.; Hahn, M.","Promoting reproducibility-by-design in statistical offices","",,,"","",2019,"","","https://www.researchgate.net/publication/332045930_Promoting_reproducibility-by-design_in_statistical_offices","Proc. New Techniques and Technologies for Statistics (NTTS)","","","","","","","","","","","","This paper emphasizes the need for Official Statistics to go beyond current practice and exceed the limits of the National Statistical Offices and the European Statistical System to reach and engage with produsers - e.g. statisticians, scientists and citizens. Through the adoption of some best practices derived from the Open Source Software community and the integration of modern technological solutions, the "Shared, Transparent, Auditable, Trusted, Participative, Reproducible, and Open" principles can help create new participatory models of knowledge and information production.","","","",""
6,"","LSJ16","Lazar, A. C.; Selenius, J.; Jortay, M.","Strategy for agricultural statistics 2020 and beyond: for the future European Agricultural Statistics System (EASS).","",,,"","",2016,"","","https://www.istat.it/storage/icas2016/f37-lazar.pdf","Proc. International Conference on Agricultural Statistics","","","","","","","","","","","","Many important policies of the European Union, such as the Common Agricultural Policy, depend on agricultural statistics. These statistics need to be of high quality, coherent, comparable and flexible, and should be produced efficiently based on users' needs in order to best serve evidence-based policy making and monitoring. The current EU agricultural statistics system does not fulfil these requirements well enough. To address this, Eurostat launched the "New legislation on Agricultural Statistics for a strategy towards 2020 and beyond" initiative in 2014. It aims to introduce two new legal frameworks stepwise: an"Integrated Farm Statistics" Regulation which will provide the basis for collecting farm level micro-data, based on a modular approach with core, module and ad hoc surveys; and a "Statistics on Agricultural Input/Output" Regulation which will provide aggregated statistics in tabular form. These frameworks will contain basic elements such as scope, precision and quality requirements and will use common definitions and classifications, while more technical elements will be covered by secondary legislation. EU Member States will be free to choose data sources, including administrative and other new data sources. This paper presents the Strategy for agricultural statistics 2020 and beyond and shows its suitability to meet technical and methodological requirements as well as to successfully navigate the complex institutional, legal and political context within the European Union and its 28 Member States. It can therefore serve as an instructive example for a cross-border implementation of the United Nations Global Strategy to improve agricultural and rural Statistics.","","","",""
6,"","Meszaros19","M\'esz\'aros, M.","Aggregating flags \textendash A standardised and rational approach","",,,"","",2019,"","\href{https://coms.events/ntts2019/data/full_papers/full_paper_90.pdf}{Online poster}","https://coms.events/ntts2019/data/x_abstracts/x_abstract_90.docx","Proc. New Techniques and Technologies for Statistics (NTTS)","","","","","","","","","","","","A flag is an attribute of a cell in a data set that provides additional qualitative information about the statistical value of that cell. They can indicate a wide range of information, for example, that a given value is estimated, confidential or represents a break in the time series. Currently different sets of flags are in use in the European Statistical System (ESS). Some statistical domains use the SDMX code list for observation status and confidentiality status, OECD uses a simplified version of the SDMX code lists and Eurostat uses a short list of flags for dissemination which combines the observation and confidentiality status. While in most cases it is well defined how a flag shall be assigned to an individual value, it is not straightforward to decide what flag shall be propagated to aggregated values like a sum, an average, quantiles, etc. This topic is important for Eurostat as the European aggregates are derived from national data points. Thus the information contained in the individual flags need to be summarized in a flag for the aggregate. This issue is not unique to Eurostat, but can occur for any aggregated data. For example, a national statistical institute may derive the national aggregate from regional data sets. In addition, the dissemination process provides further peculiarity: only a limited set of flags, compared to the set of flags used in the production process, can be applied in order to make it easily understandable to the users. In the scientific community there is a wide range of research about the consequences of data aggregation but it concentrates only on the information loss during aggregation of information and there is no scientific guidance how to aggregate flags. This paper is an attempt to provide a picture about the current situation and provide some systematic guidance how to aggregate flags in a coherent way. Eurostat is testing various approaches with a view to well balance transparency and clarity of the information made available to users in a flag. From several options, 3 methods (hierarchical, frequency and weighted frequency) are implemented in an R package for assigning a flag to an aggregate based on the underlying flags and values. Since the topic has relevance outside of Eurostat as well, it was decided to publish the respective code with documentation with a view to foster re-use within the European Statistical System and to stimulate discussion, including with the user community.","","","",""
